Model,RTH1004
SerialNumber,104946
Firmware Version,'1.80.3.4'

Acquisition Time Stamp,2022-01-26 14:15:27.233034736,2022-01-26 14:15:27.233034736,2022-01-26 14:15:27.233034736,2022-01-26 14:15:27.233034736,2022-01-26 14:15:27.233034736,2022-01-26 14:15:27.233034736,2022-01-26 14:15:27.233034736,2022-01-26 14:15:27.233034736
Waveform Type,DIGITAL,,,,,,,
,,,,,,,,
Horizontal Unit,s,,,,,,,
Horizontal Scale,0.0002,,,,,,,
Horizontal Position,0,,,,,,,
Reference Point,50 %,,,,,,,
Sample Interval,1.6e-08,,,,,,,
Record Length,125000,,,,,,,
,,,,,,,,
Vertical Unit,,,,,,,,
Threshold,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
,,,,,,,,
,,,,,,,,
History Index,0,0,0,0,0,0,0,0
History Time Stamp,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
,,,,,,,,
TIME,D7,D6,D5,D4,D3,D2,D1,D0
-0.00099386,0,0,0,0,0,1,0,1
-0.00099384,0,0,0,0,0,1,0,1
-0.00099382,0,0,0,0,0,1,0,1
-0.00099381,0,0,0,0,0,1,0,1
-0.00099379,0,0,0,0,0,1,0,1
-0.00099378,0,0,0,0,0,1,0,1
-0.00099376,0,0,0,0,0,1,0,1
-0.00099374,0,0,0,0,0,1,0,1
-0.00099373,0,0,0,0,0,1,0,1
-0.00099371,0,0,0,0,0,1,0,1
-0.0009937,0,0,0,0,0,1,0,1
-0.00099368,0,0,0,0,0,1,0,1
-0.00099366,0,0,0,0,0,1,0,1
-0.00099365,0,0,0,0,0,1,0,1
-0.00099363,0,0,0,0,0,1,0,1
-0.00099362,0,0,0,0,0,1,0,1
-0.0009936,0,0,0,0,0,1,0,1
-0.00099358,0,0,0,0,0,1,0,1
-0.00099357,0,0,0,0,0,1,0,1
-0.00099355,0,0,0,0,0,1,0,1
-0.00099354,0,0,0,0,0,1,0,1
-0.00099352,0,0,0,0,0,1,0,1
-0.0009935,0,0,0,0,0,1,0,1
-0.00099349,0,0,0,0,0,1,0,1
-0.00099347,0,0,0,0,0,1,0,1
-0.00099346,0,0,0,0,0,1,0,1
-0.00099344,0,0,0,0,0,1,0,1
-0.00099342,0,0,0,0,0,1,0,1
-0.00099341,0,0,0,0,0,1,0,1
-0.00099339,0,0,0,0,0,1,0,1
-0.00099338,0,0,0,0,0,1,0,1
-0.00099336,0,0,0,0,0,1,0,1
-0.00099334,0,0,0,0,0,1,0,1
-0.00099333,0,0,0,0,0,1,0,1
-0.00099331,0,0,0,0,0,1,0,1
-0.0009933,0,0,0,0,0,1,0,1
-0.00099328,0,0,0,0,0,1,0,1
-0.00099326,0,0,0,0,0,1,0,1
-0.00099325,0,0,0,0,0,1,0,1
-0.00099323,0,0,0,0,0,1,0,1
-0.00099322,0,0,0,0,0,1,0,1
-0.0009932,0,0,0,0,0,1,0,1
-0.00099318,0,0,0,0,0,1,0,1
-0.00099317,0,0,0,0,0,1,0,1
-0.00099315,0,0,0,0,0,1,0,1
-0.00099314,0,0,0,0,0,1,0,1
-0.00099312,0,0,0,0,0,1,0,1
-0.0009931,0,0,0,0,0,1,0,1
-0.00099309,0,0,0,0,0,1,0,1
-0.00099307,0,0,0,0,0,1,0,1
-0.00099306,0,0,0,0,0,1,0,1
-0.00099304,0,0,0,0,0,1,0,1
-0.00099302,0,0,0,0,0,1,0,1
-0.00099301,0,0,0,0,0,1,0,1
-0.00099299,0,0,0,0,0,1,0,1
-0.00099298,0,0,0,0,0,1,0,1
-0.00099296,0,0,0,0,0,1,0,1
-0.00099294,0,0,0,0,0,1,0,1
-0.00099293,0,0,0,0,0,1,0,1
-0.00099291,0,0,0,0,0,1,0,1
-0.0009929,0,0,0,0,0,1,0,1
-0.00099288,0,0,0,0,0,1,0,1
-0.00099286,0,0,0,0,0,1,0,1
-0.00099285,0,0,0,0,0,1,0,1
-0.00099283,0,0,0,0,0,1,0,1
-0.00099282,0,0,0,0,0,1,0,1
-0.0009928,0,0,0,0,0,1,0,1
-0.00099278,0,0,0,0,0,1,0,1
-0.00099277,0,0,0,0,0,1,0,1
-0.00099275,0,0,0,0,0,1,0,1
-0.00099274,0,0,0,0,0,1,0,1
-0.00099272,0,0,0,0,0,1,0,1
-0.0009927,0,0,0,0,0,1,0,1
-0.00099269,0,0,0,0,0,1,0,1
-0.00099267,0,0,0,0,0,1,0,1
-0.00099266,0,0,0,0,0,1,0,1
-0.00099264,0,0,0,0,0,1,0,1
-0.00099262,0,0,0,0,0,1,0,1
-0.00099261,0,0,0,0,0,1,0,1
-0.00099259,0,0,0,0,0,1,0,1
-0.00099258,0,0,0,0,0,1,0,1
-0.00099256,0,0,0,0,0,1,0,1
-0.00099254,0,0,0,0,0,1,0,1
-0.00099253,0,0,0,0,0,1,0,1
-0.00099251,0,0,0,0,0,1,0,1
-0.0009925,0,0,0,0,0,1,0,1
-0.00099248,0,0,0,0,0,1,0,1
-0.00099246,0,0,0,0,0,1,0,1
